model,seed,train_accuracy,val_accuracy,test_accuracy,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tn,fp,fn,tp,roc_auc,pr_auc
decision_tree_classifier,14.333333333333334,0.9999710006234866,0.9031710818217409,0.9038796102992345,0.8232173838471603,0.9315584016477764,0.8048618048618049,0.938890851289297,0.8139015501567975,0.9352056160116823,1611.3333333333333,390.6666666666667,346.0,5316.0,0.8718953394421426,0.9197881742766757
gradient_boosting_classifier,14.333333333333334,0.9621268142734931,0.9501065727086869,0.9485473208072372,0.8844235976868524,0.9726067729378967,0.9237429237429238,0.9573177911221005,0.9036547895945933,0.9649015770711635,1849.3333333333333,152.66666666666666,241.66666666666666,5420.333333333333,0.9869857859084282,0.9957666184566013
logistic_regression,14.333333333333334,0.9605318485652559,0.9569794249423637,0.9561586638830898,0.9022933748994154,0.9761028755870186,0.9332334332334332,0.9642646885670554,0.9174999817690802,0.9701472849255824,1868.3333333333333,133.66666666666666,202.33333333333334,5459.666666666667,0.9904505890906455,0.9968751369928744
perceptron,14.333333333333334,0.9173372772485392,0.9110879116099003,0.9121433542101599,0.9328974706783716,0.9188912784116493,0.728937728937729,0.9769221711998117,0.7772714643856501,0.9445970387229358,1459.3333333333333,542.6666666666666,130.66666666666666,5531.333333333333,0.9895403372090056,0.9965379345174075
random_forest_classifier,14.333333333333334,0.9999710006234866,0.9523685240767324,0.9521572720946416,0.865266732520749,0.9880185988929341,0.9675324675324676,0.9467208289179324,0.9135421792752135,0.966928176785706,1937.0,65.0,301.6666666666667,5360.333333333333,0.9843463818649264,0.9949222518042422
ridge_classifier,14.333333333333334,0.9573709165252948,0.9570229240071338,0.9548103688239388,0.8849922076239105,0.9820441899647575,0.9505494505494506,0.9563169669139291,0.916597396536785,0.969009406691255,1903.0,99.0,247.33333333333334,5414.666666666667,0.9884729952727126,0.9962788676072906
sgd_classifier,14.333333333333334,0.9575739121608886,0.9560224455174214,0.9556802366040361,0.8937166792360619,0.9795844058243827,0.9432234432234431,0.9600847756976334,0.9175252146501639,0.9696934742180519,1888.3333333333333,113.66666666666667,226.0,5436.0,0.9899508827449485,0.996716470188054
support_vector_machine_classifier,14.333333333333334,0.9635042846578799,0.9595458697638001,0.9586812804453723,0.9010213361166227,0.9804646131045494,0.9457209457209457,0.9632638643588839,0.9228292928155133,0.971787998462457,1893.3333333333333,108.66666666666667,208.0,5454.0,0.9904113018736825,0.9968655185032387
x_gradient_boosting_classifier,14.333333333333334,0.9999710006234866,0.9603288529296621,0.9599425887265136,0.9019604088707501,0.9819446514227316,0.9498834498834499,0.9634993524078653,0.9252981921227956,0.9726340071395548,1901.6666666666667,100.33333333333333,206.66666666666666,5455.333333333333,0.9915090796404818,0.9972460352169845
mean_across_models,14.333333333333334,0.9687064505890901,0.9451815119308269,0.944666743988247,0.8877543546088771,0.9679128653104107,0.9052984052984053,0.9585868100527232,0.8897911179229546,0.9627671755587097,1812.4074074074074,189.59259259259258,234.48148148148144,5427.518518518518,0.9759514103385527,0.9878885563959297
