model,seed,train_accuracy,val_accuracy,test_accuracy,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tn,fp,fn,tp,roc_auc,pr_auc
decision_tree_classifier,14.3333 ± 16.2891,1.0000 ± 0.0000,0.9032 ± 0.0033,0.9039 ± 0.0035,0.8232 ± 0.0029,0.9316 ± 0.0046,0.8049 ± 0.0141,0.9389 ± 0.0011,0.8139 ± 0.0081,0.9352 ± 0.0022,1611.3333 ± 28.2902,390.6667 ± 28.2902,346.0000 ± 6.2450,5316.0000 ± 6.2450,0.8719 ± 0.0069,0.9198 ± 0.0043
gradient_boosting_classifier,14.3333 ± 16.2891,0.9621 ± 0.0008,0.9501 ± 0.0021,0.9485 ± 0.0013,0.8844 ± 0.0017,0.9726 ± 0.0013,0.9237 ± 0.0037,0.9573 ± 0.0006,0.9037 ± 0.0026,0.9649 ± 0.0009,1849.3333 ± 7.3711,152.6667 ± 7.3711,241.6667 ± 3.2146,5420.3333 ± 3.2146,0.9870 ± 0.0004,0.9958 ± 0.0001
logistic_regression,14.3333 ± 16.2891,0.9605 ± 0.0002,0.9570 ± 0.0043,0.9562 ± 0.0035,0.9023 ± 0.0069,0.9761 ± 0.0024,0.9332 ± 0.0066,0.9643 ± 0.0026,0.9175 ± 0.0065,0.9701 ± 0.0024,1868.3333 ± 13.2791,133.6667 ± 13.2791,202.3333 ± 14.5717,5459.6667 ± 14.5717,0.9905 ± 0.0010,0.9969 ± 0.0003
perceptron,14.3333 ± 16.2891,0.9173 ± 0.0775,0.9111 ± 0.0738,0.9121 ± 0.0757,0.9329 ± 0.0458,0.9189 ± 0.0950,0.7289 ± 0.3419,0.9769 ± 0.0187,0.7773 ± 0.2409,0.9446 ± 0.0440,1459.3333 ± 684.5293,542.6667 ± 684.5293,130.6667 ± 105.7182,5531.3333 ± 105.7182,0.9895 ± 0.0013,0.9965 ± 0.0004
random_forest_classifier,14.3333 ± 16.2891,1.0000 ± 0.0000,0.9524 ± 0.0038,0.9522 ± 0.0021,0.8653 ± 0.0056,0.9880 ± 0.0005,0.9675 ± 0.0013,0.9467 ± 0.0025,0.9135 ± 0.0036,0.9669 ± 0.0015,1937.0000 ± 2.6458,65.0000 ± 2.6458,301.6667 ± 14.0119,5360.3333 ± 14.0119,0.9843 ± 0.0011,0.9949 ± 0.0004
ridge_classifier,14.3333 ± 16.2891,0.9574 ± 0.0006,0.9570 ± 0.0044,0.9548 ± 0.0020,0.8850 ± 0.0050,0.9820 ± 0.0008,0.9505 ± 0.0022,0.9563 ± 0.0021,0.9166 ± 0.0035,0.9690 ± 0.0014,1903.0000 ± 4.3589,99.0000 ± 4.3589,247.3333 ± 11.7189,5414.6667 ± 11.7189,0.9885 ± 0.0009,0.9963 ± 0.0003
sgd_classifier,14.3333 ± 16.2891,0.9576 ± 0.0011,0.9560 ± 0.0037,0.9557 ± 0.0030,0.8937 ± 0.0214,0.9796 ± 0.0062,0.9432 ± 0.0180,0.9601 ± 0.0098,0.9175 ± 0.0041,0.9697 ± 0.0023,1888.3333 ± 36.0740,113.6667 ± 36.0740,226.0000 ± 55.3444,5436.0000 ± 55.3444,0.9900 ± 0.0010,0.9967 ± 0.0003
support_vector_machine_classifier,14.3333 ± 16.2891,0.9635 ± 0.0005,0.9595 ± 0.0033,0.9587 ± 0.0028,0.9010 ± 0.0057,0.9805 ± 0.0017,0.9457 ± 0.0047,0.9633 ± 0.0022,0.9228 ± 0.0052,0.9718 ± 0.0019,1893.3333 ± 9.5044,108.6667 ± 9.5044,208.0000 ± 12.2882,5454.0000 ± 12.2882,0.9904 ± 0.0011,0.9969 ± 0.0004
x_gradient_boosting_classifier,14.3333 ± 16.2891,1.0000 ± 0.0000,0.9603 ± 0.0033,0.9599 ± 0.0038,0.9020 ± 0.0049,0.9819 ± 0.0035,0.9499 ± 0.0098,0.9635 ± 0.0016,0.9253 ± 0.0072,0.9726 ± 0.0025,1901.6667 ± 19.5533,100.3333 ± 19.5533,206.6667 ± 9.2916,5455.3333 ± 9.2916,0.9915 ± 0.0009,0.9972 ± 0.0003
mean_across_models,14.3333 ± 0.0000,0.9687 ± 0.0257,0.9452 ± 0.0234,0.9447 ± 0.0243,0.8878 ± 0.0142,0.9679 ± 0.0309,0.9053 ± 0.1116,0.9586 ± 0.0059,0.8898 ± 0.0786,0.9628 ± 0.0140,1812.4074 ± 223.4111,189.5926 ± 223.4111,234.4815 ± 33.6725,5427.5185 ± 33.6725,0.9760 ± 0.0020,0.9879 ± 0.0013
