Base Sentence,Sentence Label,Model Name,Domain,Batch Index,Timestamp
"T1: On 2024-08-21, Emily Davis, a financial reporter, predicts that the revenue at Microsoft [will likely] [decrease] from $250 billion to $200 billion in 2029 Q3.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T2: In Q2 2026, Ava Lee from Yahoo Finance, forecasts that the operating cash flow at ExxonMobil [should] [decrease] by 8 percent to $18 billion in 2027 Q1.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T3: [Dija Gabe, a financial expert] predicts on 23 October 2024 that the research and development expenses at Alphabet [may] [stay stable] at $30 million in 2028 Q4.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T4: According to a top executive from Chevron, on 08/21/2024, the net profit [is expected to] [increase] beyond $10,000 in the time frame of 2029 Q3.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T5: In 2025-08-21, the net profit at Amazon has a [probability] of 11 percent to [decrease] by $20 billion, as predicted by Emily Davis, a financial reporter, on 21 Oct 24.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T6: On Wed, November 19, 2024, Julian Hall predicts that the stock price at Tesla [will] [rise] from $800 to $1,200 per share in 2028 Q2.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T7: According to a financial analyst from McDonald's, on 2024/08/21, the operating income [may] [fall] under 5 percent to $5 billion in 2029 Q1.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T8: In Q3 of 2027, Mrs. Kalia from Yahoo Finance, envisions that the gross profit at Facebook [will] [increase] from $50 billion to $60 billion in 2029 Q2.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T9: On 21 August 2024, Mr. Mike predicts that the research and development expenses at Alphabet [will] [stay stable] at $25 million in 2027 Q4.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
"T10: According to a top executive from ExxonMobil, on 2024-08-21, the net profit [is expected to] [increase] beyond $15,000 in the time frame of 2029 Q2.",1,llama-3.1-8b-instant,finance,0,2025-03-04 17:05:14
Here are 10 unique financial predictions based on the provided templates and examples:,1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T1: On 2024-08-21, Julian Hall from Yahoo Finance predicts that the revenue at Coca-Cola will likely rise from $43.8 billion to $50 billion in 2027 Q2.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T2: In Q2 2026, Mrs. Kalia from McDonald's envisions that the stock price will rise from $200 to $250 per share in 2029 Q3.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T3: [Ava Lee, a financial expert] predicts on 2024-11-19 that the operating cash flow at General Electric will stay stable at $10 billion in 2028 Q4.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T4: According to a top executive from Procter & Gamble, on 2024-08-21, the net profit is expected to increase beyond $10,000 USD in the time frame of 2029 Q2.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T5: In 2025-08-21, the research and development expenses at Intel have a probability of 8 percent to reach $5 billion decrease, as predicted by Emily Davis, a financial reporter, on 2024-10-21.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T1: On 2024-12-16, Detravious, an investor, forecasts that the operating income at Johnson & Johnson will likely decrease from $15 billion to $10 billion in 2026 Q2.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T2: In October 2024, Julian Hall from Yahoo Finance predicts that the gross profit at 3M will rise from $10 billion to $12 billion in 2028 Q1.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T3: [Dija Gabe, a financial expert] predicts on 2024-10-23 that the net profit at Visa will stay stable at $5 billion in 2027 Q3.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T4: According to a financial analyst, on 2024-07-12, the revenue at Apple is expected to increase as much as $20 billion, reflecting a 25% increase, by 2029 Q2.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
"T5: In 2026-02-20, the stock price at Microsoft has a probability of 12 percent to reach $250 per share rise, as predicted by a financial analyst on 2024-02-20.",1,llama3-8b-8192,finance,0,2025-03-04 17:05:14
