Text,Start Time,Duration,Video ID
Let's make our official picks. We'll go,0.08,5.04,MTVAkVkkaz4
"around. Ty, we'll start with you.",2.56,5.199,MTVAkVkkaz4
Seattle Seahawks minus four and a half.,5.12,5.76,MTVAkVkkaz4
Super Bowl Sunday. McDonald Sam Darnold.,7.759,5.041,MTVAkVkkaz4
Sports Rage. Gabe Moreny says the,10.88,5.12,MTVAkVkkaz4
Seattle Seahawks win 2720.,12.8,5.6,MTVAkVkkaz4
>> Cover over hits as well. Do you see it,16.0,4.64,MTVAkVkkaz4
the same as Sports Rage? And can you do,18.4,3.92,MTVAkVkkaz4
this as Gabe Morreny?,20.64,2.639,MTVAkVkkaz4
">> Well, you know, I mean, I could probably",22.32,1.84,MTVAkVkkaz4
try. I don't know if I'm going to be,23.279,2.561,MTVAkVkkaz4
able to have the same type of juice. all,24.16,4.56,MTVAkVkkaz4
"week coming into this game, I thought",25.84,4.24,MTVAkVkkaz4
see Seattle's going to beat the [ __ ] out,28.72,3.2,MTVAkVkkaz4
of me. You know what I mean? But the,30.08,4.159,MTVAkVkkaz4
"closer we've gotten to this day, maybe",31.92,4.0,MTVAkVkkaz4
it's cuz the rage is flowing through me.,34.239,4.241,MTVAkVkkaz4
"I mean, um",35.92,4.24,MTVAkVkkaz4
"I can't believe I'm [ __ ] saying this,",38.48,5.28,MTVAkVkkaz4
but I I like the Patriots. Whoa.,40.16,6.32,MTVAkVkkaz4
">> 24 21. So, I'm going to have to disagree",43.76,4.4,MTVAkVkkaz4
with you. A lot of great stats to me and,46.48,4.239,MTVAkVkkaz4
I know you diving into it obviously.,48.16,3.04,MTVAkVkkaz4
Wow.,50.719,3.36,MTVAkVkkaz4
>> But it's Drake May's time. Boston Card,51.2,5.76,MTVAkVkkaz4
doesn't even seem happy about this.,54.079,4.48,MTVAkVkkaz4
"Well, I mean, at the end of the day, we",56.96,3.84,MTVAkVkkaz4
"all know Super Bowls won on Sunday, not",58.559,4.64,MTVAkVkkaz4
"today. And of course, you know, when Ty",60.8,4.719,MTVAkVkkaz4
"Rage is on, you know, the New England",63.199,4.881,MTVAkVkkaz4
"Patriots side, it means more. Um, but",65.519,4.241,MTVAkVkkaz4
everything you said is exactly why the,68.08,3.2,MTVAkVkkaz4
Patriots will win.,69.76,4.0,MTVAkVkkaz4
>> Everyone loves the Seahawks. 744% of the,71.28,5.04,MTVAkVkkaz4
"money, the underdogs, the the easy",73.76,4.16,MTVAkVkkaz4
"schedule, all this [ __ ] This is",76.32,3.439,MTVAkVkkaz4
what happens with New England. And this,77.92,3.92,MTVAkVkkaz4
is exactly why people hate the New,79.759,4.321,MTVAkVkkaz4
England Patriots because they feel like,81.84,4.72,MTVAkVkkaz4
"every single time, and I say they feel,",84.08,4.0,MTVAkVkkaz4
other people who aren't Pats fans feel,86.56,2.8,MTVAkVkkaz4
"like every time they win the Super Bowl,",88.08,3.52,MTVAkVkkaz4
"it's for some [ __ ] reason, like an",89.36,4.719,MTVAkVkkaz4
"easy schedule, like Jared Stdum in the",91.6,4.8,MTVAkVkkaz4
"AFC Championship, like bad weather",94.079,4.161,MTVAkVkkaz4
against the Texans. And if you go back,96.4,3.759,MTVAkVkkaz4
"and look, everybody's picking against",98.24,5.6,MTVAkVkkaz4
the Patriots damn near every week. Like,100.159,5.681,MTVAkVkkaz4
"after Houston, a lot of people liked",103.84,3.919,MTVAkVkkaz4
Houston and then you know the Patriots,105.84,3.76,MTVAkVkkaz4
"beat the [ __ ] out of him and then Well,",107.759,3.921,MTVAkVkkaz4
Weather Stunk and CJ Stout stunk. So,109.6,3.36,MTVAkVkkaz4
that's not you know that's not because,111.68,1.759,MTVAkVkkaz4
the Patriots,112.96,1.36,MTVAkVkkaz4
">> No, you're right. People were saying",113.439,2.241,MTVAkVkkaz4
they had the best defense in the NFL,114.32,2.24,MTVAkVkkaz4
going into that game.,115.68,4.16,MTVAkVkkaz4
>> Exactly. Three for three zone. Yeah. And,116.56,5.12,MTVAkVkkaz4
they were they were historic all year.,119.84,3.76,MTVAkVkkaz4
"But it feels like every single time, you",121.68,3.52,MTVAkVkkaz4
"know, people have counted the Pats out,",123.6,3.119,MTVAkVkkaz4
they've answered the bell. And I just,125.2,4.16,MTVAkVkkaz4
don't see how McDaniels coaching in his,126.719,5.121,MTVAkVkkaz4
"ninth, appearing in his 10th, you know,",129.36,4.239,MTVAkVkkaz4
"Super Bowl with the Drake May, he's",131.84,3.36,MTVAkVkkaz4
"gonna know what to do. You know, the",133.599,3.921,MTVAkVkkaz4
Seahawks defense is great. It it it's,135.2,4.08,MTVAkVkkaz4
not in the top three of best defenses,137.52,3.52,MTVAkVkkaz4
"McDaniel's ever gone up against,",139.28,4.08,MTVAkVkkaz4
especially in a Super Bowl situation.,141.04,4.8,MTVAkVkkaz4
"So, personally, I I mean, I don't want",143.36,3.68,MTVAkVkkaz4
"to go out on a limb, but I'm going to",145.84,4.88,MTVAkVkkaz4
"go, you know, 33.",147.04,5.12,MTVAkVkkaz4
>> Okay.,150.72,3.519,MTVAkVkkaz4
>> I like that. That's not a limb.,152.16,5.04,MTVAkVkkaz4
>> That's not a limb. situations.,154.239,4.561,MTVAkVkkaz4
Sam Darnold doesn't like playing the,157.2,2.0,MTVAkVkkaz4
pass.,158.8,2.159,MTVAkVkkaz4
>> That's a ledge. That's not a limp.,159.2,3.119,MTVAkVkkaz4
That's a ledge all the way out there.,160.959,3.441,MTVAkVkkaz4
"But hey, you got to go out on the uh",162.319,3.2,MTVAkVkkaz4
limb because that's where,164.4,2.16,MTVAkVkkaz4
>> isn't that where the fruit is?,165.519,2.321,MTVAkVkkaz4
>> That's right. Sometimes you got to do,166.56,4.959,MTVAkVkkaz4
that. 3310. Okay. We got a 23-point win,167.84,6.96,MTVAkVkkaz4
over there for Connor and four-point win,171.519,6.161,MTVAkVkkaz4
for the Patriots by Tai. The toxic table,174.8,4.96,MTVAkVkkaz4
firmly in the New England Patriots,177.68,3.199,MTVAkVkkaz4
"corner, which I respect by the way,",179.76,2.16,MTVAkVkkaz4
boys. I like that we're together right,180.879,2.0,MTVAkVkkaz4
now.,181.92,2.72,MTVAkVkkaz4
">> Drink it in, [ __ ] I will check",182.879,3.36,MTVAkVkkaz4
it out. Go to,184.64,3.92,MTVAkVkkaz4
>> He's got a one half of the hammer.,186.239,4.401,MTVAkVkkaz4
>> Cowboys AP tone official pick of the,188.56,2.399,MTVAkVkkaz4
game.,190.64,2.72,MTVAkVkkaz4
>> Uh I do think it's going to be a KG,190.959,5.761,MTVAkVkkaz4
affair. Um I think the defenses will,193.36,4.64,MTVAkVkkaz4
rule the day. Obviously there's going to,196.72,3.12,MTVAkVkkaz4
be some points. So I'm going the under,198.0,4.48,MTVAkVkkaz4
and I'm going to go 23-20 Seattle.,199.84,6.479,MTVAkVkkaz4
">> Oh, cover by the Patriots. Good cover.",202.48,5.28,MTVAkVkkaz4
>> Patriots plus 4 and a half.,206.319,3.2,MTVAkVkkaz4
>> That's the Madden prediction by by the,207.76,1.92,MTVAkVkkaz4
way.,209.519,1.44,MTVAkVkkaz4
">> I did not know that. Yeah, I would not",209.68,2.8,MTVAkVkkaz4
"have not not known that either, but my",210.959,3.28,MTVAkVkkaz4
table's right next to them and they had,212.48,2.72,MTVAkVkkaz4
it up on the screen.,214.239,2.481,MTVAkVkkaz4
>> They were doing a lot of talking about,215.2,4.24,MTVAkVkkaz4
"this. So, uh, here's a favored by three",216.72,4.48,MTVAkVkkaz4
and a half to six and a half point in,219.44,3.439,MTVAkVkkaz4
"the Super Bowl. Last five instances,",221.2,3.92,MTVAkVkkaz4
"says Hembo. Obviously, Rams, Patriots,",222.879,3.521,MTVAkVkkaz4
"Panthers, and Niners. In those five",225.12,3.52,MTVAkVkkaz4
"games, favorites went 1 and4 outright in",226.4,5.04,MTVAkVkkaz4
0 and5 against the spread. Seahawks sit,228.64,4.8,MTVAkVkkaz4
there at favored by four and a half.,231.44,4.0,MTVAkVkkaz4
Feels like we have three Patriot covers,233.44,4.48,MTVAkVkkaz4
here by toxic table into Tone. Dogs have,235.44,4.879,MTVAkVkkaz4
covered five straight and uh 14 of the,237.92,3.28,MTVAkVkkaz4
last 18 I believe.,240.319,2.801,MTVAkVkkaz4
">> Two weeks to prepare for a team. Debut,",241.2,3.2,MTVAkVkkaz4
you were drafted to the New England,243.12,2.56,MTVAkVkkaz4
Patriots. You thought about putting your,244.4,3.36,MTVAkVkkaz4
bandwagon behind the New England,245.68,3.199,MTVAkVkkaz4
Patriots. Haven't made an official,247.76,2.64,MTVAkVkkaz4
announcement yet. How do you see the,248.879,2.401,MTVAkVkkaz4
game going Debbud?,250.4,3.199,MTVAkVkkaz4
">> Oh, I see it being a KG affair as well.",251.28,4.319,MTVAkVkkaz4
And I feel like more of the star power,253.599,3.36,MTVAkVkkaz4
going into this one. We do have,255.599,3.521,MTVAkVkkaz4
obviously sec runner up and MVP with,256.959,3.68,MTVAkVkkaz4
Drake May who has who's had a great,259.12,3.92,MTVAkVkkaz4
"year, but more star power. JSN, you got",260.639,4.081,MTVAkVkkaz4
"Nick and Warrior who's a superstar,",263.04,3.04,MTVAkVkkaz4
"Leonard Williams, Kenneth Walker.",264.72,3.44,MTVAkVkkaz4
"Everybody's talking about those guys,",266.08,4.08,MTVAkVkkaz4
but you mentioned Josh McDaniels been in,268.16,3.52,MTVAkVkkaz4
his 10th Super Bowl coaching in his,270.16,3.92,MTVAkVkkaz4
"ninth. Vrabel, he played a ton as a",271.68,4.16,MTVAkVkkaz4
"player, first one as a coach. I'm going",274.08,6.0,MTVAkVkkaz4
