Text,Start Time,Duration,Video ID
episodes now strmingnlyn,0.867,10.073,Z0xP3GNpjkw
Paraunt+ Welme t CBS,2.868,9.206,Z0xP3GNpjkw
"orts HQ,reseed b Han.Itas t beas",7.171,6.704,Z0xP3GNpjkw
s toe a gooshowecau,11.074,3.969,Z0xP3GNpjkw
it's theridaof Ser Bow,12.174,4.67,Z0xP3GNpjkw
"weekI'm nny Dl, t Sup",13.975,4.07,Z0xP3GNpjkw
Bowl theay aer torro We,15.143,4.636,Z0xP3GNpjkw
e alst tre. We' madit.,16.977,3.87,Z0xP3GNpjkw
t's gethrou thiFrid,18.178,3.703,Z0xP3GNpjkw
afteoon geth andhen we,19.879,3.069,Z0xP3GNpjkw
n cebratSupe Bow,20.98,3.803,Z0xP3GNpjkw
"weekd, Ser Bl 60 ing",21.981,4.203,Z0xP3GNpjkw
wn o Suny atevi',23.082,5.703,Z0xP3GNpjkw
Stadm. Seawks d Priot,24.883,4.903,Z0xP3GNpjkw
battng forFL supmacyThe,26.284,4.569,Z0xP3GNpjkw
Patrts 1h Ser Bl,28.885,5.07,Z0xP3GNpjkw
appeanceThat theost of,29.886,5.07,Z0xP3GNpjkw
y fnchi. An of urse aretch of pe,30.987,5.87,Z0xP3GNpjkw
en hringbout thaall,34.089,5.704,Z0xP3GNpjkw
ek. e Pat ofours won,35.09,6.804,Z0xP3GNpjkw
at o. Funactor tsth mks t 10t Sw,36.991,5.904,Z0xP3GNpjkw
matc evehe pviou nin,39.926,7.105,Z0xP3GNpjkw
Theeamhaton t fir,41.994,6.805,Z0xP3GNpjkw
meetg h gonon twi sixtis. S htoe,42.995,7.004,Z0xP3GNpjkw
mbar Troy othe ne.,47.164,5.104,Z0xP3GNpjkw
Dami Hars i holng i,48.899,7.905,Z0xP3GNpjkw
downn Saa Claraith rca andrew.at,50.1,8.705,Z0xP3GNpjkw
"ay. Thas, Jen. Wee g",52.401,7.572,Z0xP3GNpjkw
CBSines crehereor t,56.904,6.905,Z0xP3GNpjkw
"fina dayf Rio Rowere,",58.905,6.905,Z0xP3GNpjkw
"per Bow 60,'m DamnHais,e go Bri,",60.106,7.772,Z0xP3GNpjkw
"Kyleong, themazi gre",63.909,5.17,Z0xP3GNpjkw
"Pete Prio. Flas,e are",65.91,6.905,Z0xP3GNpjkw
o ds ay frotheuper,68.011,5.804,Z0xP3GNpjkw
wl. Theameill  plad.Auperowl ch ,69.212,5.704,Z0xP3GNpjkw
crowd. Wt ar you fin,72.915,6.904,Z0xP3GNpjkw
thouts gng io th gam,73.915,7.906,Z0xP3GNpjkw
Pete'll art wityouamDaold Oht'sd,75.016,8.873,Z0xP3GNpjkw
veryelln theostsson.e,79.919,5.971,Z0xP3GNpjkw
hasn bece Samarno of,81.921,6.104,Z0xP3GNpjkw
te lt yea Andhis  the,84.022,5.804,Z0xP3GNpjkw
mentor h to owevybodthat thas al,86.023,4.87,Z0xP3GNpjkw
behi. Andan h do .,88.125,4.703,Z0xP3GNpjkw
That theigge queion on,89.926,5.904,Z0xP3GNpjkw
e biesttage Wilhe b,91.027,6.004,Z0xP3GNpjkw
ableo dohate's donsofain thelayo,92.928,5.904,Z0xP3GNpjkw
the y th sche this up,95.93,4.17,Z0xP3GNpjkw
Clin Kubk doea grt j,97.131,6.704,Z0xP3GNpjkw
of ming  eas on m. I,98.932,6.004,Z0xP3GNpjkw
ink he'gointo b abltopl pla somn,100.233,6.604,Z0xP3GNpjkw
the nestomen and shu,103.935,5.07,Z0xP3GNpjkw
peop likme up.o yore a,105.036,5.003,Z0xP3GNpjkw
"belier, te. m no abeeverhat 's t",106.937,5.204,Z0xP3GNpjkw
quarrbac I'm a bieve,109.106,5.003,Z0xP3GNpjkw
thate's a gd enghquterbk. Oka Ka,110.14,9.706,Z0xP3GNpjkw
abou you The lastwouper,112.241,8.706,Z0xP3GNpjkw
wls ve wated andhisneI expt toee,114.242,10.607,Z0xP3GNpjkw
linef simma. An tha,119.946,7.172,Z0xP3GNpjkw
real bei the sto of ega. Jos Mcn,121.047,7.872,Z0xP3GNpjkw
plan Thas wh I'm reayked ion.owg,124.949,7.072,Z0xP3GNpjkw
 proct t intior rt of,127.851,5.17,Z0xP3GNpjkw
at pket.e knothersises a theackn,129.052,5.804,Z0xP3GNpjkw
d wknoweatt's gotuys,132.154,4.77,Z0xP3GNpjkw
at c com in vess,133.155,5.003,Z0xP3GNpjkw
rushs. Thas th sto. In,134.956,4.903,Z0xP3GNpjkw
der torote you,137.057,7.806,Z0xP3GNpjkw
quarrbac andaveucce,138.258,8.706,Z0xP3GNpjkw
you ed t winhe linofscmmag parcu,139.959,9.006,Z0xP3GNpjkw
guysavereat stoes.  hav,144.963,6.904,Z0xP3GNpjkw
thetory thetatuof Nic,147.064,7.805,Z0xP3GNpjkw
evenorry rig her inhe,149.065,7.806,Z0xP3GNpjkw
ankl injy tt he susined,151.967,8.106,Z0xP3GNpjkw
Wednday.e didot pctic,154.969,6.205,Z0xP3GNpjkw
at a yesrday Eve thohth tea cam ,156.971,6.171,Z0xP3GNpjkw
statenthat the expt h,160.173,4.97,Z0xP3GNpjkw
to pla But to at lel?,161.841,6.037,Z0xP3GNpjkw
caus wenow whe youe a,163.275,5.77,Z0xP3GNpjkw
y lik Nic thebili to,165.843,5.037,Z0xP3GNpjkw
impa impt aall gam can,167.978,4.203,Z0xP3GNpjkw
me i a mtitu ofays,169.179,4.803,Z0xP3GNpjkw
becae ofhe vertili. B,170.98,5.003,Z0xP3GNpjkw
"if hs n at s bt, the",172.281,4.703,Z0xP3GNpjkw
defee w't bat the bes,174.082,4.803,Z0xP3GNpjkw
you ow wt I an?  whe,176.083,5.804,Z0xP3GNpjkw
you ok a hismpac likI,177.084,6.871,Z0xP3GNpjkw
saidhe ithe KylHamionfothei defe,178.985,11.074,Z0xP3GNpjkw
