Text,Start Time,Duration,Video ID
We're now 50 hours till Super Bowl 60.,0.24,4.72,ZZN7BAYeOtc
That clock will continue to countdown.,3.04,3.36,ZZN7BAYeOtc
It's going to be here before we know it.,4.96,2.799,ZZN7BAYeOtc
And let's continue the conversation,6.4,3.6,ZZN7BAYeOtc
"around JSN. Mina, obviously with the",7.759,3.92,ZZN7BAYeOtc
"ball in his hands, he's so dynamic. But",10.0,2.8,ZZN7BAYeOtc
you've noticed some things when he,11.679,2.241,ZZN7BAYeOtc
doesn't even have the ball that you,12.8,1.68,ZZN7BAYeOtc
wanted to point out.,13.92,1.599,ZZN7BAYeOtc
>> And I think it's part of why he was such,14.48,2.799,ZZN7BAYeOtc
a deserving offensive player of the year,15.519,4.241,ZZN7BAYeOtc
because of the gravity he exerts on the,17.279,5.361,ZZN7BAYeOtc
field. One of the stats that I love on,19.76,5.599,ZZN7BAYeOtc
"throws over 10 yards, when the Seahawks",22.64,6.399,ZZN7BAYeOtc
"throw to a receiver not named JSN, that",25.359,6.24,ZZN7BAYeOtc
receiver is twice as likely as your,29.039,5.121,ZZN7BAYeOtc
average NFL's receiver to be wide open,31.599,4.161,ZZN7BAYeOtc
or also significantly more likely to be,34.16,4.399,ZZN7BAYeOtc
open period. So if it's Cooper Cup or,35.76,4.24,ZZN7BAYeOtc
"but whenever you're watching CX, you're",38.559,3.121,ZZN7BAYeOtc
"like, how is AJ Barner so damn wide",40.0,3.6,ZZN7BAYeOtc
open? A lot of the time it is because of,41.68,4.96,ZZN7BAYeOtc
the attention paid to JSN. He's also,43.6,4.799,ZZN7BAYeOtc
really impactful in the screen game.,46.64,3.04,ZZN7BAYeOtc
We've been talking about Walker as,48.399,2.961,ZZN7BAYeOtc
receiver. Couple plays from the ends of,49.68,3.92,ZZN7BAYeOtc
the season. This is in the Rams game. So,51.36,4.48,ZZN7BAYeOtc
often they run these postover concepts,53.6,4.88,ZZN7BAYeOtc
with JSN is a twoman concept. Watch the,55.84,4.719,ZZN7BAYeOtc
Rams defensive. Really the entire,58.48,3.919,ZZN7BAYeOtc
secondary follows JSN. You get the,60.559,2.961,ZZN7BAYeOtc
little throwback screen. You got a,62.399,2.561,ZZN7BAYeOtc
"numbers advantage, which of course is",63.52,3.52,ZZN7BAYeOtc
very helpful. But in addition to the,64.96,3.839,ZZN7BAYeOtc
"numbers and the blockers, look at all",67.04,3.84,ZZN7BAYeOtc
the grass in front of Kenneth Walker.,68.799,3.441,ZZN7BAYeOtc
You can even see the defense. When they,70.88,2.8,ZZN7BAYeOtc
"see Sam Darnold turn his back, they",72.24,2.879,ZZN7BAYeOtc
assume he's going to throw to JSN,73.68,3.36,ZZN7BAYeOtc
"because so often Seattle does. Again,",75.119,3.281,ZZN7BAYeOtc
this is a couple weeks later against San,77.04,3.52,ZZN7BAYeOtc
Francisco. JSN on the inbreaker once,78.4,4.0,ZZN7BAYeOtc
again pulls the safety. Throw the,80.56,3.44,ZZN7BAYeOtc
"screen. Again, you have the numbers, but",82.4,3.28,ZZN7BAYeOtc
you also have so much grass. This is a,84.0,3.2,ZZN7BAYeOtc
big part of why Kenneth Walker has,85.68,3.759,ZZN7BAYeOtc
become impactful as a receiver. It's,87.2,4.32,ZZN7BAYeOtc
because JSN and and when they're under,89.439,4.0,ZZN7BAYeOtc
"center, first down, play action, they",91.52,3.76,ZZN7BAYeOtc
run him so much on those overs and,93.439,3.601,ZZN7BAYeOtc
inbreakers. It creates so much space for,95.28,2.56,ZZN7BAYeOtc
the other players on the field.,97.04,3.119,ZZN7BAYeOtc
">> Yeah, I love that tape. It reminds me of",97.84,4.56,ZZN7BAYeOtc
a lot of what Andre Johnson used to,100.159,4.96,ZZN7BAYeOtc
"impact in Houston, Gary Kubak and Kyle",102.4,4.96,ZZN7BAYeOtc
Shanahan. And I remember Kyle often,105.119,5.441,ZZN7BAYeOtc
talking about install and that was the,107.36,4.56,ZZN7BAYeOtc
part of the game where he would move,110.56,2.96,ZZN7BAYeOtc
Andre in all these different places.,111.92,3.12,ZZN7BAYeOtc
Andre would be in the slot. He'd be,113.52,3.52,ZZN7BAYeOtc
outside. He'd motion him out to in in,115.04,4.0,ZZN7BAYeOtc
out across the formation. Bring him,117.04,4.24,ZZN7BAYeOtc
"back, line him up in the back field. And",119.04,4.32,ZZN7BAYeOtc
I think what you'll see in this game is,121.28,4.481,ZZN7BAYeOtc
Clint Kubak doing that early on.,123.36,4.48,ZZN7BAYeOtc
"[cheering] Partly to have success,",125.761,3.599,ZZN7BAYeOtc
partly to get information. Yeah.,127.84,2.639,ZZN7BAYeOtc
>> All right. What are you doing? What,129.36,2.48,ZZN7BAYeOtc
what's New England's plan? And when I,130.479,3.84,ZZN7BAYeOtc
move JS in on first down from the slot,131.84,4.16,ZZN7BAYeOtc
"outside in, what's their call? What's",134.319,4.161,ZZN7BAYeOtc
"their check? Vice versa, whatnot. And",136.0,4.239,ZZN7BAYeOtc
when you hear Cooper Cup talk about the,138.48,2.96,ZZN7BAYeOtc
"route running,",140.239,3.201,ZZN7BAYeOtc
">> it reminds me of Isaac Bruce,",141.44,4.0,ZZN7BAYeOtc
">> you know, where the shoulders never go",143.44,4.159,ZZN7BAYeOtc
up or down. They're just kind of steady,145.44,4.56,ZZN7BAYeOtc
throughout. There's just no idea from a,147.599,4.161,ZZN7BAYeOtc
defensive back of like what's the,150.0,2.72,ZZN7BAYeOtc
likeliest route.,151.76,2.72,ZZN7BAYeOtc
>> Yeah. I think what I love about what you,152.72,4.239,ZZN7BAYeOtc
both are saying is how great players,154.48,4.72,ZZN7BAYeOtc
affect the entire football field. If,156.959,4.241,ZZN7BAYeOtc
"this was basketball, and Swag will",159.2,3.84,ZZN7BAYeOtc
"understand this, if this was basketball,",161.2,4.08,ZZN7BAYeOtc
JSN and Kenneth Walker are constantly in,163.04,3.76,ZZN7BAYeOtc
the pick and roll where they are the,165.28,2.8,ZZN7BAYeOtc
"focal point, right? Like they can go",166.8,3.12,ZZN7BAYeOtc
"into the huddle and say, ""I need the",168.08,4.08,ZZN7BAYeOtc
"ball."" But everybody else feeds off of",169.92,4.319,ZZN7BAYeOtc
them. And so whether it's play action or,172.16,4.88,ZZN7BAYeOtc
they're doubling JSN now Cooper Cup gets,174.239,4.481,ZZN7BAYeOtc
opportunity. The fact that he lines up,177.04,3.279,ZZN7BAYeOtc
"in the backfield, he plays number one,",178.72,3.599,ZZN7BAYeOtc
"he plays the slot. And also to me,",180.319,4.56,ZZN7BAYeOtc
stacks and condensed splits make it,182.319,5.041,ZZN7BAYeOtc
extremely hard to not pay a ton of,184.879,3.841,ZZN7BAYeOtc
attention to him because you're always,187.36,3.44,ZZN7BAYeOtc
putting him in traffic. When a receiver,188.72,4.64,ZZN7BAYeOtc
