Text,Start Time,Duration,Video ID
It is now time for us to predict Super,0.0,7.04,fUmJAtFEGn8
"Bowl 60. Chris Brockman, I need a score.",2.639,6.801,fUmJAtFEGn8
I need a winner. And I want an MVP on,7.04,4.24,fUmJAtFEGn8
top of it. Call your shot is basically,9.44,3.199,fUmJAtFEGn8
what I'm saying. Go for it.,11.28,3.76,fUmJAtFEGn8
">> Uh Rich, the parallels between uh this",12.639,5.441,fUmJAtFEGn8
year and 2001 uh are plentiful. As,15.04,6.239,fUmJAtFEGn8
"you've pointed out, a underdog Patriots",18.08,5.76,fUmJAtFEGn8
team against an NFC power that's just,21.279,5.121,fUmJAtFEGn8
been steamrolling everyone. We know what,23.84,4.16,fUmJAtFEGn8
"happened in 2001, guys. What happened in",26.4,3.119,fUmJAtFEGn8
"that game? Oh, right, right, right. came",28.0,4.16,fUmJAtFEGn8
down to a field goal by Adam Vinitary to,29.519,4.241,fUmJAtFEGn8
win that Super Bowl. And I find it,32.16,3.76,fUmJAtFEGn8
ironic that Adam Vinitary was inducted,33.76,3.68,fUmJAtFEGn8
into the Pro Football Hall of Fame.,35.92,2.959,fUmJAtFEGn8
">> I think it's coincidental, not ironic,",37.44,2.4,fUmJAtFEGn8
but okay. That's all right.,38.879,3.601,fUmJAtFEGn8
">> Coincidental, ironic, fate. I don't",39.84,4.08,fUmJAtFEGn8
know. But this is going to come down to,42.48,4.399,fUmJAtFEGn8
a Andy Boragalis game-winning field,43.92,8.479,fUmJAtFEGn8
"goal. Patriots 34, Seahawks 31. Drake",46.879,7.921,fUmJAtFEGn8
reenacts the famous Tom Brady hand on,52.399,5.201,fUmJAtFEGn8
"the head photo, and the new dynasty",54.8,3.36,fUmJAtFEGn8
begins.,57.6,2.88,fUmJAtFEGn8
>> Oh wow. New Dynasty. You don't even a,58.16,3.919,fUmJAtFEGn8
score and an MV. Who's the MVP? Is it,60.48,2.16,fUmJAtFEGn8
Drake May?,62.079,1.521,fUmJAtFEGn8
>> Obviously Drake May.,62.64,3.44,fUmJAtFEGn8
>> Okay. Okay. Very good. What do you What,63.6,4.48,fUmJAtFEGn8
"do you have? Uh TJ, who do you have?",66.08,3.52,fUmJAtFEGn8
